CUSTOMERKEY,GEOGRAPHYKEY,CUSTOMERALTERNATEKEY,TITLE,FIRSTNAME,MIDDLENAME,LASTNAME,NAMESTYLE,BIRTHDATE,MARITALSTATUS,SUFFIX,GENDER,EMAILADDRESS,YEARLYINCOME,TOTALCHILDREN,NUMBERCHILDRENATHOME,ENGLISHEDUCATION,SPANISHEDUCATION,FRENCHEDUCATION,ENGLISHOCCUPATION,SPANISHOCCUPATION,FRENCHOCCUPATION,HOUSEOWNERFLAG,NUMBERCARSOWNED,ADDRESSLINE1,ADDRESSLINE2,PHONE,DATEFIRSTPURCHASE,COMMUTEDISTANCE
23676,53,AW00023676,,Brandon,,Diaz,0,22-04-1946,S,,M,brandon18@adventure-works.com,60000,3,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,3762 Gumwood,,818-555-0168,25-02-2013,10+ Miles
23677,339,AW00023677,,Charles,M,Lewis,0,10/9/1945,M,,M,charles25@adventure-works.com,60000,3,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,2973 Cardinal Drive,,116-555-0162,23-10-2013,10+ Miles
23678,336,AW00023678,,Kelly,,Diaz,0,9/3/1946,S,,F,kelly26@adventure-works.com,60000,3,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,4765 L St.,,384-555-0143,31-03-2013,10+ Miles
23679,59,AW00023679,,Jacob,G,Harris,0,5/5/1947,S,,M,jacob12@adventure-works.com,50000,3,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,7987 Seawind Dr.,,518-555-0167,6/2/2013,10+ Miles
23680,300,AW00023680,,Anna,J,Powell,0,8/10/1952,M,,F,anna33@adventure-works.com,50000,3,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,5125 Cotton Ct.,,221-555-0166,23-10-2013,1-2 Miles
23681,69,AW00023681,,Jordan,,Gonzales,0,5/7/1946,S,,M,jordan14@adventure-works.com,50000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,7057 Striped Maple Court,,332-555-0114,29-11-2013,10+ Miles
23682,51,AW00023682,,Natalie,,Harris,0,7/5/1952,M,,F,natalie81@adventure-works.com,50000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,7382 Kirker Pass,,497-555-0114,10/2/2013,10+ Miles
23683,298,AW00023683,,Dana,J,Alonso,0,30-10-1947,M,,F,dana24@adventure-works.com,50000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,7034 Longbrood Way,,164-555-0178,1/10/2013,1-2 Miles
23684,326,AW00023684,,Jasmine,M,Rodriguez,0,4/7/1947,S,,F,jasmine17@adventure-works.com,50000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,2803 E. Cypress Rd.,,147-555-0187,23-01-2014,10+ Miles
34534,334,AW00023685,,K,C,ram,0,22-12-1948,S,,F,alexa19@adventure-works.com,60000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,621 Brandywine Way,,154-555-0154,4/9/2013,10+ Miles
23686,331,AW00023686,,Rachel,A,Murphy,0,9/9/1948,S,,F,rachel35@adventure-works.com,60000,4,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,7226 Casa Real,,333-555-0170,28-11-2013,10+ Miles
23687,648,AW00023687,,Melissa,,Flores,0,17-04-1950,S,,F,melissa7@adventure-works.com,30000,5,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,2,2596 Sand Pointe Lane,,254-555-0154,4/7/2013,1-2 Miles
23688,347,AW00023688,,Olivia,R,Thomas,0,16-11-1949,M,,F,olivia10@adventure-works.com,30000,5,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,7596 Valley View Road,,245-555-0149,12/1/2013,10+ Miles
23689,383,AW00023689,,Kayla,D,Hall,0,22-02-1958,M,,F,kayla23@adventure-works.com,40000,4,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,7034 Carson,,155-555-0190,4/7/2013,10+ Miles
23690,314,AW00023690,,Angel,A,James,0,2/12/1952,M,,M,angel7@adventure-works.com,40000,4,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,9670 Wildberry Court,,903-555-0193,1/2/2013,1-2 Miles
23691,609,AW00023691,,Karen,F,Hu,0,9/12/1950,S,,F,karen29@adventure-works.com,20000,5,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,3,6360 Sand Pointe Lane,,415-555-0114,12/6/2013,10+ Miles
23692,634,AW00023692,,Isaac,C,King,0,5/10/1961,S,,M,isaac41@adventure-works.com,20000,5,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,3,4675 Pomar Way,,114-555-0193,10/7/2013,10+ Miles
23693,360,AW00023693,,Jacqueline,,Jenkins,0,9/5/1951,S,,F,jacqueline7@adventure-works.com,20000,5,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,4,6212 Alpine Drive,,579-555-0186,13-07-2013,1-2 Miles
23694,552,AW00023694,,Brian,L,Brooks,0,20-08-1950,M,,M,brian13@adventure-works.com,20000,5,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,4,849 Donegal Road,,750-555-0183,30-06-2013,1-2 Miles
23695,302,AW00023695,,Elijah,,Coleman,0,11/2/1951,S,,M,elijah9@adventure-works.com,30000,5,0,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,0,3,7960 Cedar Pointe Loop,,810-555-0112,6/2/2013,1-2 Miles
23696,611,AW00023696,,Autumn,P,Li,0,25-04-1951,S,,F,autumn3@adventure-works.com,30000,5,0,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,3,5863 J St.,,127-555-0153,21-03-2013,10+ Miles
23697,539,AW00023697,,Cody,,Kelly,0,3/4/1951,M,,M,cody2@adventure-works.com,30000,5,0,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,3,6489 North 49th St.,,813-555-0126,14-04-2013,10+ Miles
23698,301,AW00023698,,Melissa,,Coleman,0,18-11-1950,M,,F,melissa23@adventure-works.com,30000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,3958 Firestone,,190-555-0142,26-12-2013,1-2 Miles
23699,315,AW00023699,,Nicholas,O,Walker,0,17-10-1950,M,,M,nicholas3@adventure-works.com,30000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,2049 Jason Court,,408-555-0156,2/8/2013,10+ Miles
23700,543,AW00023700,,Katelyn,W,Young,0,8/5/1956,M,,F,katelyn41@adventure-works.com,30000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,0,3,493 Loveridge Circle,,547-555-0192,22-12-2013,1-2 Miles
23701,347,AW00023701,,Marissa,,Barnes,0,22-08-1951,M,,F,marissa1@adventure-works.com,40000,5,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,3,7634 Via Alta,,452-555-0128,29-09-2013,10+ Miles
23702,312,AW00023702,,Eduardo,C,James,0,1/2/1952,M,,M,eduardo66@adventure-works.com,40000,5,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,3,9781 Bermad Dr.,,836-555-0168,22-01-2014,10+ Miles
23703,310,AW00023703,,Jacqueline,E,Sanchez,0,5/3/1952,M,,F,jacqueline42@adventure-works.com,40000,5,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,3,2911 Paso Del Rio Way,,765-555-0169,12/10/2013,10+ Miles
23704,334,AW00023704,,Christopher,J,Moore,0,16-07-1951,S,,M,christopher8@adventure-works.com,40000,5,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,4,3792 Esperanza Drive,,965-555-0154,1/10/2013,10+ Miles
23705,316,AW00023705,,Jeremy,,Bryant,0,1/10/1951,M,,M,jeremy30@adventure-works.com,40000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,1,8211 Leeds Ct.,,231-555-0123,16-11-2013,2-5 Miles
23706,614,AW00023706,,Mackenzie,M,Cooper,0,9/3/1957,S,,F,mackenzie16@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,9071 Macaroon Drive,,195-555-0118,31-10-2013,10+ Miles
23707,627,AW00023707,,William,L,Anderson,0,15-01-1952,S,,M,william25@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,4654 Trembath Court,,107-555-0149,19-11-2013,10+ Miles
23708,300,AW00023708,,Victoria,O,Coleman,0,30-12-1951,M,,F,victoria53@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,7853 Millfield Place,,890-555-0176,13-11-2013,10+ Miles
23709,315,AW00023709,,Devin,,Perry,0,3/6/1952,S,,M,devin46@adventure-works.com,70000,5,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,4917 Amaryl Dr.,,411-555-0124,28-11-2013,10+ Miles
23710,611,AW00023710,,Anna,,Sanchez,0,17-02-1953,M,,F,anna3@adventure-works.com,40000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,3977 Central Avenue,,955-555-0114,16-08-2013,10+ Miles
23711,638,AW00023711,,Fernando,W,Diaz,0,16-03-1953,S,,M,fernando63@adventure-works.com,70000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,4354 Northwood Dr.,,258-555-0117,21-02-2013,10+ Miles
23712,343,AW00023712,,Riley,J,Murphy,0,6/12/1952,S,,F,riley34@adventure-works.com,70000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,1682 Candle Drive,,419-555-0139,14-08-2013,10+ Miles
23713,374,AW00023713,,Arianna,C,Butler,0,16-02-1953,M,,F,arianna12@adventure-works.com,70000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,8527 Rock Oak Road,,712-555-0168,19-12-2013,10+ Miles
23714,548,AW00023714,,Joseph,T,Williams,0,15-10-1952,M,,M,joseph8@adventure-works.com,70000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,7842 Ygnacio Valley Road,,247-555-0112,6/3/2013,2-5 Miles
23715,641,AW00023715,,Isabel,,Flores,0,17-08-1952,S,,F,isabel12@adventure-works.com,70000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,1,9521 Sun View Terr,,897-555-0123,17-11-2013,2-5 Miles
23716,60,AW00023716,,Kyle,,Wright,0,8/2/1953,M,,M,kyle47@adventure-works.com,70000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,9161 Medina Dr.,,344-555-0147,16-04-2013,10+ Miles
23717,634,AW00023717,,Aidan,A,Griffin,0,14-09-1953,M,,M,aidan22@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,3720 Maine Ave.,,820-555-0132,26-05-2013,10+ Miles
23718,302,AW00023718,,Nelson,,Blanco,0,23-09-1959,M,,M,nelson14@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,3121 Spar Court,,752-555-0174,18-10-2013,2-5 Miles
23719,63,AW00023719,,Marcus,E,James,0,27-08-1954,M,,M,marcus73@adventure-works.com,40000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,1318 Ramer Ct.,,149-555-0163,13-01-2014,10+ Miles
23720,553,AW00023720,,Anna,K,Davis,0,21-11-1954,M,,F,anna66@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,5196 Camino Ricardo,,119-555-0114,22-11-2013,10+ Miles
23721,315,AW00023721,,John,M,Clark,0,20-01-1955,M,,M,john43@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,0,5301 Northwood Drive,,668-555-0134,17-10-2013,2-5 Miles
23722,325,AW00023722,,Andrea,,Perez,0,11/10/1954,M,,F,andrea34@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,0,6385 Holiday Hill Dr.,,123-555-0145,19-03-2013,10+ Miles
23723,336,AW00023723,,Jose,,Phillips,0,7/12/1954,M,,M,jose43@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,3859 Zand,,822-555-0125,4/10/2013,2-5 Miles
23724,372,AW00023724,,Gabrielle,,Hughes,0,13-09-1954,S,,F,gabrielle34@adventure-works.com,70000,5,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,593 Willow Pass Road,,162-555-0165,17-11-2013,10+ Miles
23725,71,AW00023725,,Dennis,L,Ware,0,2/4/1956,M,,M,dennis0@adventure-works.com,40000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,3,9905 North 29th St.,,401-555-0138,1/10/2011,2-5 Miles
23726,612,AW00023726,,Darrell,K,Xie,0,11/12/1955,M,,M,darrell13@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,2,6050 Camino Ricardo,,723-555-0161,25-10-2013,2-5 Miles
23727,310,AW00023727,,Bruce,,Serrano,0,30-08-1955,M,,M,bruce37@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,5762 Glenmount Drive,,180-555-0137,26-06-2013,2-5 Miles
23728,315,AW00023728,,Paige,,Kelly,0,20-08-1955,S,,F,paige25@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,6658 Virginia Lane,,728-555-0111,10/4/2013,10+ Miles
23729,347,AW00023729,,Marcus,D,Allen,0,1/3/1956,M,,M,marcus26@adventure-works.com,70000,4,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,4333 Coastal Blvd.,,177-555-0119,3/2/2013,1-2 Miles
23730,50,AW00023730,,Morgan,,Rodriguez,0,10/9/1956,M,,F,morgan41@adventure-works.com,60000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,5495 Glendale Circle,,162-555-0126,15-10-2011,2-5 Miles
23731,54,AW00023731,,Jose,,Thompson,0,14-11-1962,M,,M,jose77@adventure-works.com,60000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,935 Rheem Drive,,989-555-0126,15-10-2011,2-5 Miles
23732,609,AW00023732,,Xavier,,Wood,0,9/8/1956,S,,M,xavier43@adventure-works.com,60000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,4118 Hillsborough Dr.,,130-555-0154,5/4/2013,10+ Miles
23733,611,AW00023733,,Natasha,G,Gomez,0,16-02-1968,M,,F,natasha1@adventure-works.com,60000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,5823 Danielle Court,,260-555-0126,8/10/2013,2-5 Miles
23734,548,AW00023734,,Melanie,R,Wood,0,13-12-1956,M,,F,melanie17@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,1,9555 Holiday Hills Drive,,170-555-0185,14-07-2013,2-5 Miles
23735,548,AW00023735,,Amanda,,Washington,0,29-12-1956,M,,F,amanda34@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,1,1207 Concerto Circle,,957-555-0113,2/3/2013,2-5 Miles
23736,644,AW00023736,,Sydney,M,Rivera,0,8/6/1957,M,,F,sydney10@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,6102 Corte Poquito,,141-555-0150,4/5/2013,10+ Miles
23737,300,AW00023737,,Elena,,Velez Amezaga,0,10/9/1956,M,,F,elena0@adventure-works.com,60000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,9613 Camino Royale,,545-555-0171,12/8/2013,10+ Miles
23738,383,AW00023738,,Julian,H,Bennett,0,7/10/1963,S,,M,julian2@adventure-works.com,70000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,7405 Jacqueline Drive,,127-555-0166,16-10-2013,10+ Miles
23739,299,AW00023739,,Virginia,S,Kapoor,0,18-04-1958,M,,F,virginia2@adventure-works.com,70000,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,9406 Lincoln Dr,,533-555-0112,30-10-2013,2-5 Miles
23740,355,AW00023740,,Noah,,Jackson,0,11/11/1963,M,,M,noah52@adventure-works.com,70000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,3951 Calle Verde Drive,,765-555-0191,3/8/2013,10+ Miles
23741,611,AW00023741,,Dana,,Romero,0,2/5/1958,S,,F,dana1@adventure-works.com,70000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,7511 Azores Circle,,665-555-0132,19-10-2013,10+ Miles
23742,331,AW00023742,,Morgan,C,Cox,0,1/1/1959,M,,F,morgan58@adventure-works.com,60000,3,1,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,3,6814 Gatewood Court,,557-555-0158,7/10/2013,10+ Miles
23743,258,AW00023743,,Terrence,L,Xu,0,5/7/1985,S,,M,terrence5@adventure-works.com,20000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Manual,Obrero,Ouvrier,0,2,3884 Bates Court,,1 (11) 500 555-0114,24-02-2013,1-2 Miles
23750,246,AW00023750,,Tanya,,Serrano,0,23-08-1979,M,,F,tanya13@adventure-works.com,40000,1,1,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,0,3238 Laguna Circle,,1 (11) 500 555-0145,7/2/2013,0-1 Miles
23751,259,AW00023751,,Lacey,L,Lal,0,20-03-1980,M,,F,lacey43@adventure-works.com,40000,1,1,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,0,4195 Sea Point Way,,1 (11) 500 555-0195,11/3/2013,1-2 Miles
23752,267,AW00023752,,Devin,A,Torres,0,3/6/1980,M,,M,devin71@adventure-works.com,40000,1,1,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,0,1753 Camby Rd.,,1 (11) 500 555-0188,6/4/2013,1-2 Miles
23753,239,AW00023753,,Arthur,D,Sara,0,10/9/1978,S,,M,arthur12@adventure-works.com,30000,0,0,High School,Educación secundaria,Bac + 2,Manual,Obrero,Ouvrier,0,1,495 Saddlehill Lane,,1 (11) 500 555-0168,24-04-2013,2-5 Miles
23759,146,AW00023759,,Clinton,,Alonso,0,16-06-1979,M,,M,clinton5@adventure-works.com,40000,1,1,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,1,Hüttenstr 8095,,1 (11) 500 555-0165,21-01-2013,0-1 Miles
23760,233,AW00023760,,Nina,,Sharma,0,4/3/1979,M,,F,nina10@adventure-works.com,40000,1,1,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,1,7355 San Benito,,1 (11) 500 555-0132,14-04-2013,0-1 Miles
23766,161,AW00023766,,Cassandra,A,Martinez,0,30-10-1977,S,,F,cassandra19@adventure-works.com,40000,2,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,0,Königstr 426,,1 (11) 500 555-0144,31-07-2013,0-1 Miles
23767,269,AW00023767,,Arianna,K,Bennett,0,22-01-1977,S,,F,arianna1@adventure-works.com,10000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Manual,Obrero,Ouvrier,0,2,3228 Pembroke Dr,,1 (11) 500 555-0151,17-01-2014,0-1 Miles
23768,267,AW00023768,,Joshua,A,Garcia,0,23-01-1977,S,,M,joshua18@adventure-works.com,10000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Manual,Obrero,Ouvrier,1,2,9943 Stonehedge Dr.,,1 (11) 500 555-0187,1/1/2014,1-2 Miles
23769,242,AW00023769,,Natasha,,Dominguez,0,3/7/1976,S,,F,natasha12@adventure-works.com,10000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Manual,Obrero,Ouvrier,1,2,8721 Nahua,,1 (11) 500 555-0181,14-03-2013,1-2 Miles
23770,258,AW00023770,,Jamie,,Carlson,0,8/11/1976,S,,M,jamie40@adventure-works.com,20000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Manual,Obrero,Ouvrier,0,2,8191 Scenic Ct.,,1 (11) 500 555-0163,21-02-2013,0-1 Miles
23775,263,AW00023775,,Cedric,H,Shan,0,2/9/1975,S,,M,cedric31@adventure-works.com,40000,2,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,0,3753 Shenandoah Drive,,1 (11) 500 555-0165,18-04-2013,1-2 Miles
23776,177,AW00023776,,Cristina,L,Yuan,0,20-10-1975,S,,F,cristina6@adventure-works.com,40000,2,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,0,Postfach 44 11 11,,1 (11) 500 555-0185,17-03-2013,1-2 Miles
23777,260,AW00023777,,Candice,J,Zhang,0,5/12/1975,S,,F,candice8@adventure-works.com,40000,2,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,0,4810 Veronica Ct.,,1 (11) 500 555-0196,1/5/2013,1-2 Miles
23789,311,AW00023789,,Ryan,A,Walker,0,5/9/1959,M,,M,ryan59@adventure-works.com,30000,1,0,High School,Educación secundaria,Bac + 2,Clerical,Administrativo,Employé,1,1,4255 Alpine Rd.,,586-555-0134,24-09-2013,2-5 Miles
23790,543,AW00023790,,Isabella,,Williams,0,19-11-1960,M,,F,isabella59@adventure-works.com,20000,3,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,2291 Kreuger Drive,,543-555-0167,7/7/2013,1-2 Miles
23791,644,AW00023791,,Aaron,,Griffin,0,12/4/1961,S,,M,aaron20@adventure-works.com,20000,3,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,2,828 Pinewood Court,,306-555-0143,30-06-2013,1-2 Miles
23792,612,AW00023792,,Jessie,L,Wu,0,10/9/1960,S,,M,jessie12@adventure-works.com,20000,3,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,2,3422 Meadowvale Court,,170-555-0112,16-07-2013,1-2 Miles
23793,612,AW00023793,,Ryan,,Kumar,0,8/10/1960,S,,M,ryan32@adventure-works.com,30000,1,0,High School,Educación secundaria,Bac + 2,Clerical,Administrativo,Employé,0,1,7726 N Jackson Way,,394-555-0182,16-04-2013,10+ Miles
