CUSTOMERKEY,GEOGRAPHYKEY,CUSTOMERALTERNATEKEY,TITLE,FIRSTNAME,MIDDLENAME,LASTNAME,NAMESTYLE,BIRTHDATE,MARITALSTATUS,SUFFIX,GENDER,EMAILADDRESS,YEARLYINCOME,TOTALCHILDREN,NUMBERCHILDRENATHOME,ENGLISHEDUCATION,SPANISHEDUCATION,FRENCHEDUCATION,ENGLISHOCCUPATION,SPANISHOCCUPATION,FRENCHOCCUPATION,HOUSEOWNERFLAG,NUMBERCARSOWNED,ADDRESSLINE1,ADDRESSLINE2,PHONE,DATEFIRSTPURCHASE,COMMUTEDISTANCE
25002,50,AW00025002,,Logan,,Edwards,0,10/4/1984,M,,M,logan28@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,9682 Concord,,368-555-0191,2/7/2013,5-10 Miles
25003,609,AW00025003,,Tristan,,Russell,0,15-04-1984,S,,M,tristan20@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,7081 Willow Pass Road,,960-555-0124,16-06-2013,1-2 Miles
25004,611,AW00025004,,Samuel,,Thomas,0,14-08-1983,S,,M,samuel67@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,2599 Vine Hill Way,,779-555-0176,21-01-2014,1-2 Miles
25005,543,AW00025005,,Brianna,M,Williams,0,13-02-1984,S,,F,brianna2@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,5790 Ponderosa Drive,,598-555-0182,30-03-2013,1-2 Miles
25006,648,AW00025006,,Bailey,,Murphy,0,19-08-1983,S,,F,bailey12@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,9407 StandingView Dr. Ave,,162-555-0190,29-06-2013,5-10 Miles
25007,299,AW00025007,,Alyssa,R,Sanders,0,1/3/1984,S,,F,alyssa46@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,5607 Willow Creek Ct.,,101-555-0135,25-04-2013,1-2 Miles
25008,314,AW00025008,,Haley,H,Perry,0,17-11-1983,S,,F,haley26@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,59 Lakewood Court,,948-555-0113,19-12-2013,1-2 Miles
25009,21,AW00025009,,Natasha,L,Alonso,0,3/9/1950,M,,F,natasha7@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,2,1384 Windmill Way,,1 (11) 500 555-0163,8/10/2013,1-2 Miles
25010,23,AW00025010,,Misty,H,Kumar,0,30-10-1951,S,,F,misty9@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,0,2,3315 Providence Dr.,,1 (11) 500 555-0197,17-07-2012,1-2 Miles
25011,13,AW00025011,,Taylor,D,White,0,3/2/1953,M,,F,taylor60@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,0,2,9504 Rosina Court,,1 (11) 500 555-0188,20-07-2012,1-2 Miles
25012,2,AW00025012,,Craig,M,Martin,0,19-03-1954,M,,M,craig2@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,5098 N. Civic Dr,,1 (11) 500 555-0146,13-04-2013,5-10 Miles
25013,25,AW00025013,,Mitchell,,Stone,0,16-01-1954,S,,M,mitchell0@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,9948 Almond Avve,,1 (11) 500 555-0177,10/11/2013,5-10 Miles
25014,336,AW00025014,,Juan,,Reed,0,13-02-1984,S,,M,juan30@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,5671 Dimaggio Way,,262-555-0179,10/12/2013,1-2 Miles
25015,352,AW00025015,,Jacqueline,S,Rogers,0,4/2/1984,M,,F,jacqueline44@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,5183 Ham Drive,,172-555-0159,7/4/2013,0-1 Miles
25016,59,AW00025016,,Elijah,L,Washington,0,26-10-1982,S,,M,elijah17@adventure-works.com,40000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,2,6759 Greenbrier Street,,243-555-0137,25-07-2013,5-10 Miles
25017,6,AW00025017,,Cristina,,Xu,0,21-11-1953,M,,F,cristina5@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,1130 Fillet Ave.,,1 (11) 500 555-0193,26-08-2013,1-2 Miles
25018,352,AW00025018,,Lucas,F,Robinson,0,4/8/1982,S,,M,lucas32@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,9589 Eastgate Avenue,,178-555-0194,30-05-2013,5-10 Miles
25019,24,AW00025019,,Misty,S,Shen,0,17-04-1956,M,,F,misty3@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,3,3055 Mt. Trinity Ct.,,1 (11) 500 555-0190,22-11-2013,5-10 Miles
25020,17,AW00025020,,Walter,A,Romero,0,7/7/1955,S,,M,walter22@adventure-works.com,20000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,6190 Main Street,,1 (11) 500 555-0173,29-07-2012,5-10 Miles
25021,2,AW00025021,,Edwin,K,Sharma,0,4/8/1955,M,,M,edwin32@adventure-works.com,20000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,20 Chestnut Ave,,1 (11) 500 555-0126,5/8/2012,5-10 Miles
25022,18,AW00025022,,Patricia,,Perez,0,9/9/1962,M,,F,patricia22@adventure-works.com,20000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,6948 Midway Ct,,1 (11) 500 555-0125,14-08-2012,1-2 Miles
25023,301,AW00025023,,Carolyn,,Sanz,0,7/9/1985,S,,F,carolyn41@adventure-works.com,40000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,2,5415 West,,111-555-0192,17-04-2013,5-10 Miles
25024,307,AW00025024,,Brad,S,Pritchett,0,30-11-1985,S,,M,brad24@adventure-works.com,40000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,2,8500 Byers Rd.,,154-555-0139,11/8/2013,5-10 Miles
25025,372,AW00025025,,Spencer,J,Bryant,0,17-06-1985,S,,M,spencer20@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,1114 Laurel,,193-555-0113,4/4/2013,0-1 Miles
25026,24,AW00025026,,Mitchell,H,Andersen,0,3/11/1957,M,,M,mitchell12@adventure-works.com,20000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,3,8465 Kim Court,,1 (11) 500 555-0142,27-02-2013,5-10 Miles
25027,9,AW00025027,,Meredith,,Mehta,0,15-07-1958,M,,F,meredith13@adventure-works.com,40000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,3756 Lime Ridge Drive,,1 (11) 500 555-0111,7/1/2014,1-2 Miles
25028,10,AW00025028,,Brenda,,Gonzalez,0,22-03-1964,M,,F,brenda22@adventure-works.com,40000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,2102 W. 8th St.,,1 (11) 500 555-0172,6/1/2014,5-10 Miles
25029,13,AW00025029,,Alberto,D,Hernandez,0,12/10/1958,S,,M,alberto5@adventure-works.com,40000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,9597 Pass,,1 (11) 500 555-0119,6/8/2012,5-10 Miles
25030,28,AW00025030,,Jessie,,Romero,0,24-12-1958,S,,F,jessie15@adventure-works.com,40000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,261 La Orinda Pl,,1 (11) 500 555-0144,20-08-2012,5-10 Miles
25031,16,AW00025031,,Kristina,,Malhotra,0,26-05-1960,S,,F,kristina5@adventure-works.com,40000,3,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,2,671 Deerwood Court,,1 (11) 500 555-0171,2/5/2013,1-2 Miles
25032,18,AW00025032,,Meredith,,Rana,0,13-01-1965,S,,F,meredith10@adventure-works.com,40000,3,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,2,7500 Sheffield Place,,1 (11) 500 555-0114,20-08-2012,5-10 Miles
25033,7,AW00025033,,Omar,,Zhu,0,11/5/1960,S,,M,omar13@adventure-works.com,40000,3,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,2,7996 Ronda Ct.,,1 (11) 500 555-0147,1/8/2012,5-10 Miles
25034,28,AW00025034,,Anne,V,Martin,0,21-10-1966,S,,F,anne1@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,3378 Camino Verde,,1 (11) 500 555-0110,3/8/2012,5-10 Miles
25035,10,AW00025035,,Mandy,C,Lin,0,29-10-1960,S,,F,mandy9@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,7616 Honey Court,,1 (11) 500 555-0148,5/8/2012,1-2 Miles
25036,4,AW00025036,,Jenny,,Ye,0,13-10-1960,S,,F,jenny12@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,8922 Franklin Canyon Road,,1 (11) 500 555-0128,28-08-2012,1-2 Miles
25037,30,AW00025037,,Terrence,R,Rai,0,7/4/1961,M,,M,terrence18@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,2587 Windmill Way,,1 (11) 500 555-0192,13-09-2012,1-2 Miles
25038,612,AW00025038,,Isabella,W,Hall,0,18-07-1980,S,,F,isabella54@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,9395 Oak Grove Rd.,,323-555-0195,27-12-2013,1-2 Miles
25039,542,AW00025039,,Alexis,,Clark,0,11/8/1980,S,,F,alexis16@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,5065 Cloverleaf Circle,,607-555-0154,19-11-2013,5-10 Miles
25040,548,AW00025040,,Julian,D,Perry,0,20-08-1980,S,,M,julian9@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,8172 N. Ranchford,,153-555-0180,2/12/2013,1-2 Miles
25041,648,AW00025041,,Hunter,G,Phillips,0,21-01-1981,S,,M,hunter35@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,4500 Willow Dr.,,744-555-0177,22-11-2013,5-10 Miles
25042,298,AW00025042,,Arif,A,Rizaldy,0,24-02-1981,S,,F,arif0@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7189 Candle Dr,,867-555-0123,21-12-2013,1-2 Miles
25043,302,AW00025043,,Damien,W,Rai,0,19-08-1980,S,,M,damien34@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,7094 Salvio St.,,788-555-0159,23-08-2013,5-10 Miles
25044,385,AW00025044,,Emma,H,Bailey,0,6/2/1981,S,,F,emma33@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,3795 Tabora Drive,,515-555-0135,20-05-2013,5-10 Miles
25045,609,AW00025045,,Paige,,Russell,0,31-08-1979,M,,F,paige19@adventure-works.com,50000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,582 Magic Dr,,273-555-0175,1/2/2013,5-10 Miles
25046,57,AW00025046,,Caleb,P,Long,0,10/3/1979,M,,M,caleb6@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,7023 Stallion Way,,717-555-0162,2/1/2012,5-10 Miles
25047,352,AW00025047,,Trevor,,Long,0,10/5/1979,M,,M,trevor9@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,7957 Hermosa,,616-555-0169,1/12/2013,5-10 Miles
25048,49,AW00025048,,Yolanda,K,Sharma,0,10/8/1978,S,,F,yolanda8@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,2,1819 Lilac Court,,275-555-0186,2/1/2012,0-1 Miles
25049,312,AW00025049,,Candice,L,Ye,0,18-12-1978,M,,F,candice15@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,2378 Joyce Dr.,,826-555-0110,29-04-2013,5-10 Miles
25050,312,AW00025050,,Darryl,S,Chen,0,3/11/1978,S,,M,darryl2@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,617 LindenTree Dr,,325-555-0127,2/5/2013,5-10 Miles
25051,19,AW00025051,,Suzanne,,Cai,0,24-09-1961,S,,F,suzanne22@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,1283 Teakwood Court,,1 (11) 500 555-0161,4/9/2012,5-10 Miles
25052,18,AW00025052,,Sandra,A,Lin,0,16-01-1978,S,,F,sandra14@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,5583 Peterson Pl.,,1 (11) 500 555-0137,26-09-2012,1-2 Miles
25053,17,AW00025053,,Colin,,Andersen,0,19-08-1968,M,,M,colin36@adventure-works.com,70000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,5689 Almondtree Circle,,1 (11) 500 555-0198,4/9/2012,5-10 Miles
25054,24,AW00025054,,Sheila,,Alonso,0,30-08-1963,S,,F,sheila8@adventure-works.com,100000,1,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,4,8783 Detroit Ave.,,1 (11) 500 555-0133,23-07-2013,0-1 Miles
25055,33,AW00025055,,Erik,E,Navarro,0,6/8/1963,M,,M,erik10@adventure-works.com,100000,1,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,1,16 Yukon Street,,1 (11) 500 555-0192,20-09-2013,10+ Miles
25056,31,AW00025056,,Wayne,E,Black,0,19-08-1963,M,,M,wayne22@adventure-works.com,100000,1,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,1366 Hunt Dr,,1 (11) 500 555-0187,20-08-2013,10+ Miles
25057,27,AW00025057,,Jerome,J,Gomez,0,9/11/1970,S,,M,jerome1@adventure-works.com,100000,1,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,3,6692 Bluefish Lane,,1 (11) 500 555-0185,15-09-2012,0-1 Miles
25058,22,AW00025058,,Corey,,Raji,0,5/7/1964,M,,M,corey18@adventure-works.com,100000,1,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,433 Marsh Drive,,1 (11) 500 555-0130,27-10-2013,2-5 Miles
25059,546,AW00025059,,Sean,,Ward,0,23-10-1978,S,,M,sean20@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,2826 C Del Rio Ln.,,709-555-0132,1/5/2013,5-10 Miles
25060,312,AW00025060,,Noah,R,Martinez,0,17-07-1978,S,,M,noah64@adventure-works.com,80000,0,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,1,6472 Loveridge Circle,,854-555-0195,10/5/2013,0-1 Miles
25061,68,AW00025061,,Julia,,Hughes,0,20-01-1980,S,,F,julia77@adventure-works.com,50000,0,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,6973 Mt. Hood Circle,,284-555-0163,22-01-2012,1-2 Miles
25062,71,AW00025062,,Kaitlyn,J,Young,0,18-06-1980,S,,F,kaitlyn23@adventure-works.com,50000,0,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,1058 Kirker Pass Road,,370-555-0122,12/4/2013,5-10 Miles
25063,609,AW00025063,,Dylan,T,Williams,0,15-04-1985,M,,M,dylan37@adventure-works.com,50000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,0,2,9774 Maywood Lane,,228-555-0196,5/12/2013,1-2 Miles
25064,374,AW00025064,,James,M,Harris,0,18-08-1971,S,,M,james86@adventure-works.com,150000,0,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,2,2173 H Stagecoach Rd.,,212-555-0171,3/5/2013,0-1 Miles
25065,637,AW00025065,,Thomas,,Henderson,0,22-05-1963,M,,M,thomas6@adventure-works.com,70000,2,0,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,7159 Shell Circle,,103-555-0134,30-03-2013,5-10 Miles
25066,62,AW00025066,,Charles,D,Robinson,0,17-11-1962,S,,M,charles22@adventure-works.com,70000,2,0,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,0,2,5068 N Francisco Way,,826-555-0121,26-01-2014,1-2 Miles
25067,618,AW00025067,,Melanie,P,Butler,0,12/5/1970,S,,F,melanie1@adventure-works.com,40000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,6398 Joyce Dr,,196-555-0111,23-12-2013,2-5 Miles
25068,307,AW00025068,,Robert,,Shan,0,19-12-1969,S,,M,robert42@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,0,2,9152 St. Patricia,,556-555-0193,13-10-2013,0-1 Miles
25069,612,AW00025069,,Lori,,Ortega,0,2/5/1970,M,,F,lori22@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,3,273 Winding Lane,,214-555-0179,24-06-2013,10+ Miles
25070,49,AW00025070,,Melody,,Alvarez,0,23-03-1975,M,,F,melody5@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,3,3196 Rotherham Dr.,,391-555-0114,18-09-2013,10+ Miles
25071,339,AW00025071,,Natalie,W,Brooks,0,17-08-1969,M,,F,natalie22@adventure-works.com,60000,5,5,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,3,2305 Glaze Drive,,568-555-0151,12/1/2014,2-5 Miles
25072,548,AW00025072,,Alyssa,O,Murphy,0,27-03-1970,S,,F,alyssa32@adventure-works.com,60000,4,2,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,0,2,1451 Victory Lane,,698-555-0138,18-12-2013,0-1 Miles
25073,539,AW00025073,,Shelby,,Stewart,0,23-08-1969,M,,F,shelby23@adventure-works.com,60000,4,2,Bachelors,Licenciatura,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,2,7317 Cortez,,526-555-0119,23-12-2013,2-5 Miles
25074,543,AW00025074,,Samantha,,Jackson,0,22-05-1969,M,,F,samantha13@adventure-works.com,70000,4,2,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,2,7895 Arlington Way,,121-555-0112,23-05-2013,2-5 Miles
25075,358,AW00025075,,Samantha,A,Thompson,0,23-11-1968,M,,F,samantha17@adventure-works.com,70000,4,2,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,2,459 William Reed Drive,,910-555-0125,3/5/2013,2-5 Miles
25076,336,AW00025076,,Nicole,W,Jenkins,0,11/8/1974,M,,F,nicole55@adventure-works.com,60000,3,2,Graduate Degree,Estudios de postgrado,Bac + 3,Professional,Profesional,Cadre,0,0,6868 West,,451-555-0148,19-12-2013,0-1 Miles
25077,642,AW00025077,,Wyatt,M,Clark,0,2/2/1980,M,,M,wyatt20@adventure-works.com,60000,3,2,Graduate Degree,Estudios de postgrado,Bac + 3,Professional,Profesional,Cadre,0,0,9320 Teakwood Dr.,,189-555-0175,14-12-2013,0-1 Miles
25078,338,AW00025078,,James,,Jenkins,0,20-03-1984,M,,M,james22@adventure-works.com,40000,3,2,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,7585 Ida Drive,,990-555-0196,3/12/2013,2-5 Miles
25079,632,AW00025079,,Riley,,Perry,0,18-12-1967,S,,F,riley5@adventure-works.com,70000,1,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,4512 M St.,,188-555-0186,29-05-2013,2-5 Miles
25080,302,AW00025080,,Marissa,,Long,0,11/1/1973,S,,F,marissa7@adventure-works.com,70000,1,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,9557 Steven Circle,,833-555-0112,9/5/2013,2-5 Miles
25081,322,AW00025081,,Melanie,,Morris,0,8/3/1967,S,,F,melanie43@adventure-works.com,30000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,2,8042 Dent Way,,135-555-0115,20-08-2013,0-1 Miles
25082,299,AW00025082,,William,A,Martinez,0,2/8/1966,M,,M,william12@adventure-works.com,40000,4,3,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,4019 Gumwood Dr.,,142-555-0130,11/10/2013,0-1 Miles
25083,299,AW00025083,,Omar,,Gao,0,15-12-1966,M,,M,omar14@adventure-works.com,40000,4,3,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,3,6387 Tanager Road,,919-555-0152,8/11/2013,10+ Miles
25084,553,AW00025084,,Dalton,,James,0,9/4/1967,M,,M,dalton69@adventure-works.com,60000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,250 Montgomery Ave.,,277-555-0153,12/12/2013,0-1 Miles
25085,331,AW00025085,,Lucas,,Rogers,0,22-02-1967,M,,M,lucas90@adventure-works.com,60000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,3362 Julpum Loop,,908-555-0168,20-01-2013,2-5 Miles
25086,299,AW00025086,,Jasmine,,Cox,0,23-02-1967,M,,F,jasmine30@adventure-works.com,60000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,679 Pepperidge Way,,250-555-0113,30-12-2012,2-5 Miles
25087,612,AW00025087,,Wyatt,,Young,0,12/11/1966,M,,M,wyatt27@adventure-works.com,60000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,9533 Working Drive,,592-555-0134,22-01-2013,0-1 Miles
25088,337,AW00025088,,Victoria,J,Reed,0,7/2/1972,M,,F,victoria28@adventure-works.com,60000,1,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,8957 Maureen Circle,,403-555-0115,13-01-2013,2-5 Miles
